MPG,Country
7,US
8,US
8,US
9,US
9,US
10,US
10,US
10,US
11,US
12,US
12,US
12,US
12,US
13,US
13,US
13,US
13,US
13,US
14,US
14,US
14,US
14,US
14,US
14,US
14,US
14,US
14,US
14,US
14,US
14,US
14,US
15,US
15,US
15,US
15,US
15,US
15,US
15,US
15,US
15,US
15,US
15,US
15,US
15,US
15,US
15,US
16,US
16,US
16,US
16,US
16,US
16,US
16,US
16,US
16,US
16,US
16,US
16,US
16,US
16,US
16,US
16,US
16,US
16,US
16,US
16,US
17,US
17,US
17,US
17,US
17,US
17,US
17,US
17,US
17,US
17,US
17,US
17,US
17,US
17,US
17,US
17,US
18,US
18,US
18,US
18,US
18,US
18,US
18,US
18,US
18,US
18,US
18,US
18,US
18,US
18,US
18,US
19,US
19,US
19,US
19,US
19,US
19,US
19,US
19,US
19,US
19,US
19,US
19,US
19,US
20,US
20,US
20,US
20,US
20,US
20,US
20,US
20,US
20,US
20,US
20,US
20,US
20,US
20,US
20,US
20,US
20,US
20,US
20,US
20,US
20,US
20,US
20,US
20,US
21,US
21,US
21,US
21,US
21,US
21,US
21,US
21,US
21,US
21,US
21,US
21,US
21,US
21,US
21,US
21,US
21,US
21,US
21,US
21,US
22,US
22,US
22,US
22,US
22,US
22,US
22,US
22,US
22,US
22,US
22,US
22,US
22,US
22,US
22,US
23,US
23,US
23,US
23,US
23,US
23,US
23,US
23,US
23,US
23,US
23,US
23,US
23,US
23,US
23,US
23,US
24,US
24,US
24,US
24,US
24,US
25,US
25,US
25,US
25,US
25,US
25,US
25,US
25,US
25,US
25,US
26,US
26,US
26,US
26,US
27,US
27,US
27,US
27,US
27,US
27,US
27,US
27,US
27,US
27,US
27,US
28,US
28,US
28,US
28,US
28,US
28,US
28,US
29,US
29,US
29,US
29,US
29,US
29,US
30,US
30,US
30,US
30,US
31,US
31,US
32,US
32,US
37,US
22,US
22,US
22,US
22,US
22,US
22,US
22,US
22,US
28,US
28,US
28,US
28,US
24,Japanese
27,Japanese
27,Japanese
25,Japanese
31,Japanese
35,Japanese
24,Japanese
19,Japanese
28,Japanese
23,Japanese
27,Japanese
20,Japanese
22,Japanese
18,Japanese
20,Japanese
31,Japanese
32,Japanese
31,Japanese
32,Japanese
24,Japanese
26,Japanese
29,Japanese
24,Japanese
24,Japanese
33,Japanese
33,Japanese
32,Japanese
28,Japanese
19,Japanese
32,Japanese
34,Japanese
26,Japanese
30,Japanese
22,Japanese
22,Japanese
33,Japanese
39,Japanese
36,Japanese
28,Japanese
27,Japanese
21,Japanese
24,Japanese
30,Japanese
34,Japanese
32,Japanese
38,Japanese
37,Japanese
30,Japanese
31,Japanese
37,Japanese
32,Japanese
47,Japanese
41,Japanese
45,Japanese
34,Japanese
33,Japanese
24,Japanese
32,Japanese
39,Japanese
35,Japanese
32,Japanese
37,Japanese
38,Japanese
34,Japanese
34,Japanese
32,Japanese
33,Japanese
32,Japanese
25,Japanese
24,Japanese
37,Japanese
31,Japanese
36,Japanese
36,Japanese
34,Japanese
38,Japanese
32,Japanese
38,Japanese
32,Japanese
